title,description,emotion
The Pursuit of Happyness,A struggling salesman fights homelessness while raising his son.,Sad
Schindler's List,A businessman saves Jewish lives during the Holocaust.,Sad
Titanic,A tragic love story aboard the ill-fated Titanic.,Sad
Grave of the Fireflies,Two siblings struggle to survive during World War II.,Sad
Hachi: A Dog's Tale,A dog's unbreakable loyalty to his owner.,Sad
Atonement,A lie destroys lives and love forever.,Sad
Blue Valentine,The painful breakdown of a marriage.,Sad
Manchester by the Sea,A man faces guilt and loss after a family tragedy.,Sad
The Green Mile,A prison guard witnesses miracles on death row.,Sad
Million Dollar Baby,A boxer's tragic journey to greatness.,Sad
The Notebook,A lifelong love story that defies time.,Romantic
Pride and Prejudice,Love blooms amid class differences.,Romantic
La La Land,Dreams and love clash in Hollywood.,Romantic
Before Sunrise,Two strangers connect over one night.,Romantic
Titanic,Love blossoms during a historic tragedy.,Romantic
Call Me by Your Name,A summer romance in Italy.,Romantic
Notting Hill,An ordinary man falls for a movie star.,Romantic
A Walk to Remember,Young love changes two lives forever.,Romantic
Her,A man falls in love with an AI.,Romantic
Romeo + Juliet,Classic tragic love story retold.,Romantic
Forrest Gump,A simple man lives an extraordinary life.,Happy
Paddington,A bear spreads kindness and joy.,Happy
The Secret Life of Walter Mitty,A man escapes routine to find adventure.,Happy
Up,An old man embarks on a joyful adventure.,Happy
Chef,A chef rediscovers his passion.,Happy
Sing,Animals chase musical dreams.,Happy
Julie & Julia,Cooking brings happiness and purpose.,Happy
Toy Story,Toys learn friendship and loyalty.,Happy
The Intern,Friendship across generations.,Happy
Little Miss Sunshine,A quirky family road trip.,Happy
Se7en,Two detectives hunt a serial killer.,Thriller
Gone Girl,A wife disappears mysteriously.,Thriller
Shutter Island,A detective uncovers dark truths.,Thriller
The Silence of the Lambs,An FBI trainee hunts a serial killer.,Thriller
Prisoners,A father searches for his missing child.,Thriller
Black Swan,A dancer's mind unravels.,Thriller
Zodiac,A hunt for an elusive killer.,Thriller
Nightcrawler,Crime journalism turns dark.,Thriller
The Girl with the Dragon Tattoo,A dark mystery unfolds.,Thriller
Get Out,A disturbing social thriller.,Thriller
Rocky,An underdog boxer gets a chance.,Motivational
The Shawshank Redemption,Hope survives prison walls.,Motivational
Dead Poets Society,A teacher inspires free thinking.,Motivational
3 Idiots,Engineering students find true purpose.,Motivational
The Social Network,The rise of Facebook.,Motivational
Whiplash,A drummer pushes beyond limits.,Motivational
Slumdog Millionaire,A boy's destiny unfolds.,Motivational
The Founder,The rise of McDonald's.,Motivational
Pursuit of Happyness,Never give up on dreams.,Motivational
Moneyball,Challenging traditional thinking.,Motivational
Kal Ho Naa Ho,A terminally ill man teaches love and happiness.,Sad
Taare Zameen Par,A dyslexic child finds hope through a teacher.,Sad
Devdas,A tragic love story of loss and addiction.,Sad
Masaan,Lives intersect after loss and societal pressure.,Sad
Veer-Zaara,Love separated by borders and time.,Sad
Ghajini,A man seeks revenge with short-term memory loss.,Sad
Rang De Basanti,Youth awaken after tragedy.,Sad
Rockstar,An artist loses love for greatness.,Sad
Sanam Teri Kasam,Pure love ends in tragedy.,Sad
October,Love grows through pain and care.,Sad
Dilwale Dulhania Le Jayenge,Love fights tradition and family.,Romantic
Jab We Met,Two strangers transform each other.,Romantic
Aashiqui 2,"Love, fame, and sacrifice.",Romantic
Yeh Jawaani Hai Deewani,Friendship and love over years.,Romantic
Barfi!,Silent love story of innocence.,Romantic
Tamasha,Finding oneself through love.,Romantic
Kuch Kuch Hota Hai,Love finds its way over time.,Romantic
Rehnaa Hai Terre Dil Mein,Obsession turns into love.,Romantic
Lootera,Love and betrayal in rural India.,Romantic
Love Aaj Kal,Modern vs old-school romance.,Romantic
3 Idiots,Students learn the meaning of success.,Happy
Chhichhore,Celebrating failure and friendship.,Happy
Munna Bhai MBBS,Kindness heals more than medicine.,Happy
Bajrangi Bhaijaan,Humanity beyond borders.,Happy
Dil Chahta Hai,Friendship and self-discovery.,Happy
Queen,A woman rediscovers herself.,Happy
Zindagi Na Milegi Dobara,Friends rediscover life.,Happy
Hera Pheri,Comedy of errors.,Happy
PK,Innocence questions society.,Happy
Welcome,Chaos and comedy ensue.,Happy
Andhadhun,A blind pianist caught in crime.,Thriller
Drishyam,A father's perfect cover-up.,Thriller
Kahaani,A pregnant woman seeks truth.,Thriller
Badla,Revenge and deception.,Thriller
Talaash,Mystery tied to grief.,Thriller
A Wednesday,Common man's rage.,Thriller
Ugly,Dark side of society.,Thriller
Special 26,Con artists fool the system.,Thriller
Raman Raghav 2.0,Mind games of a killer.,Thriller
Talvar,A murder mystery.,Thriller
Swades,Returning home to serve.,Motivational
Dangal,Girls break stereotypes.,Motivational
Chak De! India,Team unity wins.,Motivational
Lakshya,Finding purpose.,Motivational
Bhaag Milkha Bhaag,Rise of a legend.,Motivational
Guru,"Dream big, rise higher.",Motivational
Mary Kom,Fighter's spirit.,Motivational
Pad Man,Breaking taboos.,Motivational
Super 30,Education for all.,Motivational
MS Dhoni: The Untold Story,Journey of a captain.,Motivational
Nirahua Rikshawala,A poor rickshaw puller struggles with love and society.,Sad
Ganga Maiya Tohe Piyari Chadhaibo,A woman's sacrifice for family honor.,Sad
